Participant,Time.alert,NaN,NaN,NaN,NaN,NaN,NaN,NaN,N.action.1,Time.action.1,lowertime.action.1,ticktime.action.1,uppertime.action.1,correct.1,NaN,NaN,N.action.2,Time.action.2,lowertime.action.2,ticktime.action.2,uppertime.action.2,correct.2,failed.action.1,failed.action.2,Runtime
10,20440,normative,nan,nan,nan,nan,nan,nan,n,38655,15,18,21,successful-1,nan,nan,n,43660,22,23,28,successful,0,0,0
3,20445,normative,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,0,0,0
2,20445,normative,nan,nan,nan,nan,nan,nan,n,40640,15,20,21,successful-1,nan,nan,n,47480,22,27,28,successful,0,0,0
5,20480,normative,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,0,0,0
7,20445,normative,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,0,0,0
4,20445,normative,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,0,0,0
13,20445,normative,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,0,0,0
9,20435,normative,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,nan,nan,n,49195,22,28,28,successful,0,0,0
4,20445,normative,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,0,0,1
9,20435,normative,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,nan,nan,n,48335,22,27,28,successful,0,0,1
13,20445,normative,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,0,0,1
5,20440,normative,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,0,0,1
2,20445,normative,nan,nan,nan,nan,nan,nan,n,40640,15,20,21,successful-1,nan,nan,n,47480,22,27,28,successful,0,0,1
10,20440,normative,nan,nan,nan,nan,nan,nan,n,38655,15,17,21,successful-1,nan,nan,n,43660,22,22,28,successful,0,0,1
3,20445,normative,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,0,0,1
7,20445,normative,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,0,0,1
7,20445,normative,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,0,0,2
9,20450,normative,nan,nan,nan,nan,nan,nan,n,42755,15,21,21,successful-1,nan,nan,n,48045,22,27,28,successful,0,0,2
10,20440,normative,nan,nan,nan,nan,nan,nan,n,38655,15,18,21,successful-1,nan,nan,n,43660,22,23,28,successful,0,0,2
5,20435,normative,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,0,0,2
3,20445,normative,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,0,0,2
4,20470,normative,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,0,0,2
2,20445,normative,nan,nan,nan,nan,nan,nan,n,40640,15,20,21,successful-1,nan,nan,n,47480,22,27,28,successful,0,0,2
13,20445,normative,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,0,0,2
9,20435,normative,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,nan,nan,n,48545,22,28,28,successful,0,0,3
2,20445,normative,nan,nan,nan,nan,nan,nan,n,40640,15,20,21,successful-1,nan,nan,n,47480,22,26,28,successful,0,0,3
3,20445,normative,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,0,0,3
5,20445,normative,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,0,0,3
13,20445,normative,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,0,0,3
10,20440,normative,nan,nan,nan,nan,nan,nan,n,38655,15,18,21,successful-1,nan,nan,n,43660,22,23,28,successful,0,0,3
4,20445,normative,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,0,0,3
7,20445,normative,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,0,0,3
13,20445,normative,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,0,0,4
5,20435,normative,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,0,0,4
4,20445,normative,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,0,0,4
3,20445,normative,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,0,0,4
2,20445,normative,nan,nan,nan,nan,nan,nan,n,40640,15,20,21,successful-1,nan,nan,n,47480,22,27,28,successful,0,0,4
9,20470,normative,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,nan,nan,n,48645,22,28,28,successful,0,0,4
7,20445,normative,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,0,0,4
10,20440,normative,nan,nan,nan,nan,nan,nan,n,38655,15,18,21,successful-1,nan,nan,n,43660,22,23,28,successful,0,0,4
2,20445,normative,nan,nan,nan,nan,nan,nan,n,40640,15,20,21,successful-1,nan,nan,n,47480,22,26,28,successful,0,0,5
3,20445,normative,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,0,0,5
4,20445,normative,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,0,0,5
10,20440,normative,nan,nan,nan,nan,nan,nan,n,38655,15,17,21,successful-1,nan,nan,n,43660,22,22,28,successful,0,0,5
5,20445,normative,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,0,0,5
9,20435,normative,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,nan,nan,n,47660,22,26,28,successful,0,0,5
7,20445,normative,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,0,0,5
13,20445,normative,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,0,0,5
10,20440,normative,nan,nan,nan,nan,nan,nan,n,38655,15,18,21,successful-1,nan,nan,n,43660,22,23,28,successful,0,0,6
5,20435,normative,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,0,0,6
7,20445,normative,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,0,0,6
3,20445,normative,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,0,0,6
9,20435,normative,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,nan,nan,n,48335,22,28,28,successful,0,0,6
2,20445,normative,nan,nan,nan,nan,nan,nan,n,40640,15,20,21,successful-1,nan,nan,n,47480,22,26,28,successful,0,0,6
4,20445,normative,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,0,0,6
13,20445,normative,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,0,0,6
3,20445,normative,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,0,0,7
7,20445,normative,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,0,0,7
13,20445,normative,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,0,0,7
2,20445,normative,nan,nan,nan,nan,nan,nan,n,40640,15,19,21,successful-1,nan,nan,n,47480,22,26,28,successful,0,0,7
9,20470,normative,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,0,0,7
10,20440,normative,nan,nan,nan,nan,nan,nan,n,38655,15,18,21,successful-1,nan,nan,n,43660,22,23,28,successful,0,0,7
4,20445,normative,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,0,0,7
5,20435,normative,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,0,0,7
9,20470,normative,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,0,0,8
13,20445,normative,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,0,0,8
2,20445,normative,nan,nan,nan,nan,nan,nan,n,40640,15,20,21,successful-1,nan,nan,n,47480,22,27,28,successful,0,0,8
7,20445,normative,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,0,0,8
10,20440,normative,nan,nan,nan,nan,nan,nan,n,38655,15,18,21,successful-1,nan,nan,n,43660,22,23,28,successful,0,0,8
3,20445,normative,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,0,0,8
5,20435,normative,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,0,0,8
4,20445,normative,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,0,0,8
9,20450,normative,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,nan,nan,n,48235,22,28,28,successful,0,0,9
3,20445,normative,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,0,0,9
2,20445,normative,nan,nan,nan,nan,nan,nan,n,40640,15,20,21,successful-1,nan,nan,n,47480,22,26,28,successful,0,0,9
13,20445,normative,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,0,0,9
5,20435,normative,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,0,0,9
7,20445,normative,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,0,0,9
4,20445,normative,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,0,0,9
10,20440,normative,nan,nan,nan,nan,nan,nan,n,38655,15,17,21,successful-1,nan,nan,n,43660,22,22,28,successful,0,0,9
10,20440,normative,nan,nan,nan,nan,nan,nan,n,38655,15,18,21,successful-1,nan,nan,n,43660,22,23,28,successful,0,0,10
3,20445,normative,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,0,0,10
13,20445,normative,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,0,0,10
5,20435,normative,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,0,0,10
2,20445,normative,nan,nan,nan,nan,nan,nan,n,40640,15,19,21,successful-1,nan,nan,n,47480,22,26,28,successful,0,0,10
7,20445,normative,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,0,0,10
4,20445,normative,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,0,0,10
9,20450,normative,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,nan,nan,n,49395,22,28,28,successful,0,0,10
10,20440,normative,nan,nan,nan,nan,nan,nan,n,38655,15,17,21,successful-1,nan,nan,n,43660,22,22,28,successful,0,0,11
13,20445,normative,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,0,0,11
7,20445,normative,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,0,0,11
9,20450,normative,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,nan,nan,n,48335,22,27,28,successful,0,0,11
4,20445,normative,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,0,0,11
3,20445,normative,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,0,0,11
2,20445,normative,nan,nan,nan,nan,nan,nan,n,40640,15,20,21,successful-1,nan,nan,n,47480,22,27,28,successful,0,0,11
5,20445,normative,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,0,0,11
5,20435,normative,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,0,0,12
9,20470,normative,nan,nan,nan,nan,nan,nan,n,42860,15,21,21,successful-1,nan,nan,n,47875,22,26,28,successful,0,0,12
2,20445,normative,nan,nan,nan,nan,nan,nan,n,40640,15,20,21,successful-1,nan,nan,n,47480,22,27,28,successful,0,0,12
3,20445,normative,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,0,0,12
4,20480,normative,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,0,0,12
10,20440,normative,nan,nan,nan,nan,nan,nan,n,38655,15,18,21,successful-1,nan,nan,n,43660,22,23,28,successful,0,0,12
13,20445,normative,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,0,0,12
7,20445,normative,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,nan,nan,n,nan,nan,nan,nan,nan,0,0,12
